"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
170,"黗","thun2",,"th","un",2,"thun2","他","君"
171,"腯","thun2",,"th","un",2,"thun2","他","君"
172,"𦝬","thun2",,"th","un",2,"thun2","他","君"
173,"准","chun2",,"ch","un",2,"tsun2","曾","君"
174,"凖","chun2",,"ch","un",2,"tsun2","曾","君"
175,"𠟃","chun2",,"ch","un",2,"tsun2","曾","君"
176,"撙","chun2",,"ch","un",2,"tsun2","曾","君"
177,"僔","chun2",,"ch","un",2,"tsun2","曾","君"
178,"準","chun2",,"ch","un",2,"tsun2","曾","君"
179,"隼","chun2",,"ch","un",2,"tsun2","曾","君"
180,"鶽","chun2",,"ch","un",2,"tsun2","曾","君"
181,"鱒","chun2",,"ch","un",2,"tsun2","曾","君"
182,"噂","chun2",,"ch","un",2,"tsun2","曾","君"
183,"繜","chun2",,"ch","un",2,"tsun2","曾","君"
184,"損","sun2",,"s","un",2,"sun2","時","君"
185,"榫","sun2",,"s","un",2,"sun2","時","君"
186,"筍","sun2",,"s","un",2,"sun2","時","君"
187,"笋","sun2",,"s","un",2,"sun2","時","君"
188,"簨","sun2",,"s","un",2,"sun2","時","君"
189,"允","qun2",,"q","un",2,"un2","英","君"
190,"𠃔","qun2",,"q","un",2,"un2","英","君"
191,"狁","qun2",,"q","un",2,"un2","英","君"
192,"吮","qun2",,"q","un",2,"un2","英","君"
193,"隕","qun2",,"q","un",2,"un2","英","君"
194,"殞","qun2",,"q","un",2,"un2","英","君"
195,"傊","qun2",,"q","un",2,"un2","英","君"
196,"穩","qun2",,"q","un",2,"un2","英","君"
197,"賱","qun2",,"q","un",2,"un2","英","君"
198,"䪳","qun2",,"q","un",2,"un2","英","君"
199,"愪","qun2",,"q","un",2,"un2","英","君"
200,"磒","qun2",,"q","un",2,"un2","英","君"
201,"刎","bun2",,"b","un",2,"bun2","門","君"
202,"吻","bun2",,"b","un",2,"bun2","門","君"
203,"蚊","bun2",,"b","un",2,"bun2","門","君"
204,"蚉","bun2",,"b","un",2,"bun2","門","君"
205,"瞞","bun2",,"b","un",2,"bun2","門","君"
206,"伆","bun2",,"b","un",2,"bun2","門","君"
207,"𦮶","bun2",,"b","un",2,"bun2","門","君"
208,"脗","bun2",,"b","un",2,"bun2","門","君"
209,"抆","bun2",,"b","un",2,"bun2","門","君"
210,"㥃","bun2",,"b","un",2,"bun2","門","君"
211,"捫","bun2",,"b","un",2,"bun2","門","君"
212,"忖","chhun2",,"chh","un",2,"tshun2","出","君"
213,"偆","chhun2",,"chh","un",2,"tshun2","出","君"
214,"僢","chhun2",,"chh","un",2,"tshun2","出","君"
215,"舛","chhun2",,"chh","un",2,"tshun2","出","君"
216,"荈","chhun2",,"chh","un",2,"tshun2","出","君"
217,"瞬","chhun2",,"chh","un",2,"tshun2","出","君"
218,"喘","chhun2",,"chh","un",2,"tshun2","出","君"
219,"賰","chhun2",,"chh","un",2,"tshun2","出","君"
220,"蠢","chhun2",,"chh","un",2,"tshun2","出","君"
221,"𧎌","chhun2",,"chh","un",2,"tshun2","出","君"
222,"㖺","chhun2",,"chh","un",2,"tshun2","出","君"
223,"𥬫","chhun2",,"chh","un",2,"tshun2","出","君"
224,"粉","hun2",,"h","un",2,"hun2","喜","君"
225,"佷","hun2",,"h","un",2,"hun2","喜","君"
226,"很","hun2",,"h","un",2,"hun2","喜","君"
227,"坋","hun2",,"h","un",2,"hun2","喜","君"
228,"坌","hun2",,"h","un",2,"hun2","喜","君"
229,"忿","hun2",,"h","un",2,"hun2","喜","君"
230,"倱","hun2",,"h","un",2,"hun2","喜","君"
231,"黺","hun2",,"h","un",2,"hun2","喜","君"
232,"𪑕","hun2",,"h","un",2,"hun2","喜","君"
233,"僨","hun2",,"h","un",2,"hun2","喜","君"
234,"吩","hun2",,"h","un",2,"hun2","喜","君"
235,"惲","hun2",,"h","un",2,"hun2","喜","君"
236,"憤","hun2",,"h","un",2,"hun2","喜","君"
237,"㤻","lun3",,"l","un",3,"lun3","柳","君"
238,"溣","lun3",,"l","un",3,"lun3","柳","君"
239,"棍","kun3",,"k","un",3,"kun3","求","君"
240,"𧬪","kun3",,"k","un",3,"kun3","求","君"
241,"䵪","kun3",,"k","un",3,"kun3","求","君"
242,"困","khun3",,"kh","un",3,"khun3","去","君"
243,"𡻨","khun3",,"kh","un",3,"khun3","去","君"
244,"㫻","khun3",,"kh","un",3,"khun3","去","君"
245,"睏","khun3",,"kh","un",3,"khun3","去","君"
246,"頓","tun3",,"t","un",3,"tun3","地","君"
247,"扽","tun3",,"t","un",3,"tun3","地","君"
