han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
捫,bun2,,b,un,2,bun2,門,君
忖,tshun2,,tsh,un,2,tshun2,出,君
偆,tshun2,,tsh,un,2,tshun2,出,君
僢,tshun2,0.01,tsh,un,2,tshun2,出,君
舛,tshun2,,tsh,un,2,tshun2,出,君
荈,tshun2,,tsh,un,2,tshun2,出,君
瞬,tshun2,,tsh,un,2,tshun2,出,君
喘,tshun2,,tsh,un,2,tshun2,出,君
賰,tshun2,,tsh,un,2,tshun2,出,君
蠢,tshun2,,tsh,un,2,tshun2,出,君
𧎌,tshun2,,tsh,un,2,tshun2,出,君
㖺,tshun2,,tsh,un,2,tshun2,出,君
𥬫,tshun2,,tsh,un,2,tshun2,出,君
粉,hun2,,h,un,2,hun2,喜,君
佷,hun2,,h,un,2,hun2,喜,君
很,hun2,,h,un,2,hun2,喜,君
坋,hun2,,h,un,2,hun2,喜,君
坌,hun2,0.01,h,un,2,hun2,喜,君
忿,hun2,,h,un,2,hun2,喜,君
倱,hun2,,h,un,2,hun2,喜,君
黺,hun2,,h,un,2,hun2,喜,君
𪑕,hun2,,h,un,2,hun2,喜,君
僨,hun2,,h,un,2,hun2,喜,君
吩,hun2,,h,un,2,hun2,喜,君
惲,hun2,,h,un,2,hun2,喜,君
憤,hun2,,h,un,2,hun2,喜,君
㤻,lun3,,l,un,3,lun3,柳,君
溣,lun3,,l,un,3,lun3,柳,君
棍,kun3,,k,un,3,kun3,求,君
𧬪,kun3,,k,un,3,kun3,求,君
䵪,kun3,,k,un,3,kun3,求,君
困,khun3,,kh,un,3,khun3,去,君
𡻨,khun3,,kh,un,3,khun3,去,君
㫻,khun3,,kh,un,3,khun3,去,君
睏,khun3,,kh,un,3,khun3,去,君
頓,tun3,,t,un,3,tun3,地,君
扽,tun3,,t,un,3,tun3,地,君
䔚,tun3,,t,un,3,tun3,地,君
吩,phun3,,ph,un,3,phun3,頗,君
𠴮,phun3,0.01,ph,un,3,phun3,頗,君
喯,phun3,,ph,un,3,phun3,頗,君
逩,phun3,,ph,un,3,phun3,頗,君
泍,phun3,,ph,un,3,phun3,頗,君
噴,phun3,,ph,un,3,phun3,頗,君
𤶕,thun3,,th,un,3,thun3,他,君
褪,thun3,,th,un,3,thun3,他,君
飩,thun3,,th,un,3,thun3,他,君
𪑒,thun3,,th,un,3,thun3,他,君
俊,tsun3,,ts,un,3,tsun3,曾,君
儁,tsun3,0.01,ts,un,3,tsun3,曾,君
雋,tsun3,0.01,ts,un,3,tsun3,曾,君
峻,tsun3,,ts,un,3,tsun3,曾,君
𡼕,tsun3,,ts,un,3,tsun3,曾,君
懏,tsun3,,ts,un,3,tsun3,曾,君
狻,tsun3,,ts,un,3,tsun3,曾,君
竣,tsun3,,ts,un,3,tsun3,曾,君
浚,tsun3,,ts,un,3,tsun3,曾,君
逡,tsun3,,ts,un,3,tsun3,曾,君
濬,tsun3,,ts,un,3,tsun3,曾,君
畯,tsun3,,ts,un,3,tsun3,曾,君
餕,tsun3,,ts,un,3,tsun3,曾,君
駿,tsun3,,ts,un,3,tsun3,曾,君
鱒,tsun3,,ts,un,3,tsun3,曾,君
睃,tsun3,,ts,un,3,tsun3,曾,君
圳,tsun3,,ts,un,3,tsun3,曾,君
鋑,tsun3,,ts,un,3,tsun3,曾,君
舜,sun3,,s,un,3,sun3,時,君
𠊫,sun3,,s,un,3,sun3,時,君
蕣,sun3,,s,un,3,sun3,時,君
巽,sun3,,s,un,3,sun3,時,君
遜,sun3,,s,un,3,sun3,時,君
孫,sun3,0.01,s,un,3,sun3,時,君
瞚,sun3,,s,un,3,sun3,時,君
橓,sun3,,s,un,3,sun3,時,君
瞬,sun3,,s,un,3,sun3,時,君
𢁅,sun3,0.01,s,un,3,sun3,時,君
潠,sun3,,s,un,3,sun3,時,君
噀,sun3,,s,un,3,sun3,時,君
慍,qun3,,q,un,3,un3,英,君
蘊,qun3,,q,un,3,un3,英,君
搵,qun3,,q,un,3,un3,英,君
縕,qun3,,q,un,3,un3,英,君
醞,qun3,,q,un,3,un3,英,君
韞,qun3,,q,un,3,un3,英,君
溫,qun3,,q,un,3,un3,英,君
寸,tshun3,,tsh,un,3,tshun3,出,君
訓,hun3,,h,un,3,hun3,喜,君
僨,hun3,,h,un,3,hun3,喜,君
𦘶,hun3,,h,un,3,hun3,喜,君
馴,hun3,,h,un,3,hun3,喜,君
𥂙,hun3,0.01,h,un,3,hun3,喜,君
奮,hun3,,h,un,3,hun3,喜,君
糞,hun3,,h,un,3,hun3,喜,君
爋,hun3,,h,un,3,hun3,喜,君
不,put4,,p,ut,4,put4,邊,君
扒,put4,,p,ut,4,put4,邊,君
朳,put4,,p,ut,4,put4,邊,君
骨,kut4,,k,ut,4,kut4,求,君
榾,kut4,,k,ut,4,kut4,求,君
𥠳,kut4,,k,ut,4,kut4,求,君
窟,khut4,,kh,ut,4,khut4,去,君
㵠,khut4,,kh,ut,4,khut4,去,君
堀,khut4,,kh,ut,4,khut4,去,君
詘,khut4,,kh,ut,4,khut4,去,君
𡼿,khut4,,kh,ut,4,khut4,去,君
屈,khut4,,kh,ut,4,khut4,去,君
𦁐,khut4,,kh,ut,4,khut4,去,君
𦜇,khut4,,kh,ut,4,khut4,去,君
㑁,tut4,,t,ut,4,tut4,地,君
咄,tut4,,t,ut,4,tut4,地,君
㤕,tut4,,t,ut,4,tut4,地,君
飿,tut4,,t,ut,4,tut4,地,君
昢,phut4,,ph,ut,4,phut4,頗,君
朏,phut4,,ph,ut,4,phut4,頗,君
𥩾,phut4,,ph,ut,4,phut4,頗,君
䭯,phut4,,ph,ut,4,phut4,頗,君
㛘,phut4,,ph,ut,4,phut4,頗,君
怵,thut4,,th,ut,4,thut4,他,君
𢬳,thut4,,th,ut,4,thut4,他,君
禿,thut4,,th,ut,4,thut4,他,君
頹,thut4,,th,ut,4,thut4,他,君
䠈,thut4,,th,ut,4,thut4,他,君
黜,thut4,,th,ut,4,thut4,他,君
痜,thut4,,th,ut,4,thut4,他,君
卒,tsut4,,ts,ut,4,tsut4,曾,君
倅,tsut4,,ts,ut,4,tsut4,曾,君
卆,tsut4,0.01,ts,ut,4,tsut4,曾,君
䘚,tsut4,0.01,ts,ut,4,tsut4,曾,君
捽,tsut4,,ts,ut,4,tsut4,曾,君
窋,tsut4,,ts,ut,4,tsut4,曾,君
率,sut4,,s,ut,4,sut4,時,君
恤,sut4,,s,ut,4,sut4,時,君
𠌭,sut4,,s,ut,4,sut4,時,君
䢦,sut4,,s,ut,4,sut4,時,君
戌,sut4,,s,ut,4,sut4,時,君
㖅,sut4,,s,ut,4,sut4,時,君
窣,sut4,,s,ut,4,sut4,時,君
卹,sut4,,s,ut,4,sut4,時,君
賉,sut4,0.01,s,ut,4,sut4,時,君
帥,sut4,,s,ut,4,sut4,時,君
蟀,sut4,,s,ut,4,sut4,時,君
𩘱,sut4,,s,ut,4,sut4,時,君
𠞩,sut4,,s,ut,4,sut4,時,君
熨,qut4,,q,ut,4,ut4,英,君
菀,qut4,,q,ut,4,ut4,英,君
鬱,qut4,,q,ut,4,ut4,英,君
欝,qut4,0.01,q,ut,4,ut4,英,君
